DATE,CL1,CL4,MVOLNU,AAA_Yield,BAA_Yield,ICJ,VIX,BDI,GSCI,SPYDPS,SPY,BM,SP_LAST,SP_LOW,SP_HIGH,SP_OPEN,PE,SPX_12MEPS,USGG10YR,USGG3M,USGG6M,SIM
20/02/1996,21.05,21.05,#N/A,7.3,7.76,#N/A,16.8,1426,194.533,1.528,64.065,3.045,640.65,638.79,647.98,647.98,18.6027,34.45,5.984,4.962,5.066,0.453846154
21/02/1996,19.71,19.71,#N/A,7.3,7.76,#N/A,14.47,1419,197.0451,1.528,64.81,3.0796,648.1,640.65,648.11,640.65,18.8151,34.46,5.965,4.955,5.017,0.461538462
22/02/1996,19.85,19.85,#N/A,7.28,7.75,#N/A,14.56,1406,198.2263,1.528,65.886,3.13,658.86,648.1,659.75,648.1,19.1258,34.47,5.903,4.944,4.963,0.469230769
23/02/1996,19.06,19.06,#N/A,7.34,7.81,#N/A,14.78,1400,195.6637,1.528,65.908,3.131,659.08,652.25,663,658.86,19.1328,34.47,5.959,4.953,4.972,0.476923077
26/02/1996,19.39,19.39,#N/A,7.35,7.82,#N/A,16.38,1398,198.7225,1.528,65.046,3.0904,650.46,650.16,659.08,659.08,18.8764,34.48,6.019,4.983,4.992,0.5
27/02/1996,19.7,19.7,#N/A,7.39,7.87,#N/A,16.63,1392,199.2238,1.528,64.724,3.0752,647.24,643.87,650.62,650.46,18.7833,34.47,6.068,5.019,5.028,0.507692308
28/02/1996,19.29,19.29,#N/A,7.4,7.88,#N/A,16.72,1379,197.6663,1.528,64.475,3.0622,644.75,643.99,654.39,647.24,18.6975,34.5,6.088,5.007,5.049,0.515384615
29/02/1996,19.54,19.54,#N/A,7.43,7.91,#N/A,17.04,1364,197.696,1.528,64.043,3.0347,640.43,639.01,646.95,644.75,18.4889,34.63,6.098,5.028,5.059,0.523076923
01/03/1996,19.44,19.44,#N/A,7.33,7.81,#N/A,16.72,1357,195.4975,1.1418,64.437,3.0532,644.37,635,644.38,640.43,18.6054,34.63,5.959,5.005,4.961,0.530769231
04/03/1996,19.2,19.2,#N/A,7.28,7.78,#N/A,16.67,1349,195.1477,1.1418,65.081,3.0842,650.81,644.37,653.54,644.37,18.7979,34.62,5.901,5.025,4.971,0.553846154
05/03/1996,19.54,19.54,#N/A,7.31,7.81,#N/A,16.1,1347,194.9921,1.1418,65.579,3.1073,655.79,648.77,655.8,650.81,18.9399,34.63,5.946,5.029,5.003,0.561538462
06/03/1996,20.19,20.19,#N/A,7.37,7.88,#N/A,16.56,1347,196.587,1.1418,65.2,3.0892,652,651.61,656.97,655.79,18.829,34.63,6.051,5.028,5.046,0.569230769
07/03/1996,19.81,19.81,#N/A,7.39,7.9,#N/A,16.49,1348,194.7398,1.1418,65.365,3.0985,653.65,649.54,653.65,652,18.8844,34.61,6.071,5.028,5.045,0.576923077
08/03/1996,19.61,19.61,#N/A,7.6,8.12,#N/A,20.7,1350,193.6818,1.1418,63.35,3.0037,633.5,627.63,653.65,653.65,18.3037,34.61,6.407,5.026,5.182,0.584615385
11/03/1996,19.91,19.91,#N/A,7.56,8.06,#N/A,19.4,1354,195.3065,1.1418,64.002,3.0361,640.02,629.95,640.41,633.5,18.4977,34.6,6.329,5.098,5.181,0.607692308
12/03/1996,20.46,20.46,#N/A,7.6,8.1,#N/A,19.09,1351,195.792,1.1418,63.709,3.0223,637.09,628.82,640.02,640.02,18.4144,34.6,6.356,5.102,5.185,0.615384615
13/03/1996,20.58,20.58,#N/A,7.58,8.08,#N/A,18.13,1353,196.7236,1.1418,63.855,3.0288,638.55,635.19,640.52,637.09,18.4536,34.61,6.358,5.122,5.185,0.623076923
14/03/1996,21.16,21.16,#N/A,7.58,8.08,#N/A,16.93,1355,197.1193,1.1418,64.087,3.0403,640.87,638.55,644.17,638.55,18.5238,34.6,6.352,5.121,5.152,0.630769231
15/03/1996,21.99,21.99,#N/A,7.65,8.16,#N/A,16.54,1363,198.5,1.1418,64.143,3.0434,641.43,638.35,642.87,640.87,18.543,34.6,6.453,5.151,5.235,0.638461538
18/03/1996,23.27,23.27,#N/A,7.63,8.15,#N/A,17.31,1375,202.7554,1.1418,65.265,3.0963,652.65,641.43,652.65,641.43,18.8662,34.6,6.419,5.181,5.224,0.661538462
19/03/1996,24.34,24.34,#N/A,7.6,8.12,#N/A,18.35,1396,202.8801,1.1418,65.169,3.0921,651.69,649.8,656.18,652.65,18.8426,34.6,6.415,5.206,5.274,0.669230769
20/03/1996,23.06,23.06,#N/A,7.58,8.1,#N/A,18.66,1408,203.8876,1.1418,64.998,3.0836,649.98,645.57,653.13,651.69,18.7904,34.6,6.302,5.143,5.22,0.676923077
21/03/1996,21.05,21.05,#N/A,7.53,8.06,#N/A,17.74,1417,205.3202,1.1418,64.919,3.0801,649.19,648.1,651.54,649.98,18.7685,34.6,6.284,5.059,5.209,0.684615385
22/03/1996,21.95,21.95,#N/A,7.56,8.09,#N/A,17.05,1422,207.9506,1.1418,65.062,3.0865,650.62,649.19,652.08,649.19,18.8098,34.6,6.329,5.109,5.217,0.692307692
25/03/1996,22.4,22.4,#N/A,7.5,8.02,#N/A,17.84,1425,209.1285,1.1418,65.004,3.0838,650.04,648.82,655.5,650.62,18.7869,34.61,6.238,5.066,5.206,0.715384615
26/03/1996,22.19,22.19,#N/A,7.51,8.03,#N/A,17.8,1428,208.0673,1.1418,65.297,3.0974,652.97,648.15,654.31,650.04,18.8739,34.61,6.236,5.154,5.163,0.723076923
27/03/1996,21.79,21.79,#N/A,7.6,8.12,#N/A,17.89,1430,208.2085,1.1418,64.891,3.0774,648.91,647.6,653.94,652.97,18.7532,34.61,6.336,5.164,5.185,0.730769231
28/03/1996,21.41,21.41,#N/A,7.64,8.17,#N/A,18.16,1445,206.1287,1.1418,64.894,3.0778,648.94,646.36,649.58,648.91,18.7558,34.61,6.398,5.194,5.216,0.738461538
29/03/1996,21.47,21.47,#N/A,7.59,8.12,#N/A,18.88,1448,206.664,1.1418,64.55,3.0651,645.5,644.89,650.96,648.94,18.6629,34.55,6.327,5.14,5.182,0.746153846
01/04/1996,22.26,22.26,#N/A,7.58,8.1,#N/A,17.9,1449,209.2467,1.1418,65.373,3.049,653.73,645.5,653.87,645.5,18.8123,34.67,6.281,5.16,5.192,0.769230769
02/04/1996,22.7,22.7,#N/A,7.53,8.06,#N/A,16.45,1449,211.2125,1.1418,65.526,3.0569,655.26,652.81,655.27,653.73,18.8581,34.67,6.224,5.165,5.249,0.776923077
03/04/1996,22.27,22.27,#N/A,7.55,8.08,#N/A,16.33,1454,210.8319,1.1418,65.588,3.06,655.88,651.81,655.89,655.26,18.8758,34.66,6.257,5.154,5.249,0.784615385
04/04/1996,22.75,22.75,#N/A,#N/A,#N/A,#N/A,16.18,1458,213.3876,1.1418,65.586,3.0595,655.86,654.89,656.68,655.88,18.8747,34.67,6.346,5.121,5.236,0.792307692
08/04/1996,23.03,23.03,#N/A,7.8,8.34,#N/A,18.72,#N/A,214.0549,1.1418,64.424,3.0061,644.24,638.04,655.86,655.86,18.5423,34.67,6.604,5.16,5.361,0.823076923
09/04/1996,23.06,23.06,#N/A,7.73,8.26,#N/A,17.32,1457,212.7559,1.1418,64.219,2.9969,642.19,640.84,646.33,644.24,18.4833,34.66,6.544,5.092,5.291,0.830769231
10/04/1996,24.21,24.21,#N/A,7.8,8.33,#N/A,20.22,1456,215.5516,1.1418,63.35,2.9581,633.5,631.76,642.78,642.19,18.2393,34.65,6.663,5.091,5.323,0.838461538
11/04/1996,25.34,25.34,#N/A,7.81,8.34,#N/A,19.65,1454,216.6828,1.1418,63.118,2.949,631.18,624.14,635.26,633.5,18.1858,34.63,6.666,5.101,5.312,0.846153846
12/04/1996,24.29,24.29,#N/A,7.69,8.22,#N/A,17.38,1450,213.121,1.1418,63.671,2.974,636.71,631.18,637.14,631.18,18.3428,34.63,6.5,5.078,5.267,0.853846154
15/04/1996,25.06,25.06,#N/A,7.66,8.19,#N/A,16.83,1447,213.4022,1.1418,64.249,2.9998,642.49,636.71,642.49,636.71,18.504,34.64,6.464,5.004,5.202,0.876923077
16/04/1996,24.47,24.47,#N/A,7.64,8.16,#N/A,16.45,1447,208.5507,1.1418,64.5,3.0119,645,642.15,645.57,642.49,18.5757,34.64,6.482,4.966,5.232,0.884615385
17/04/1996,24.67,24.67,#N/A,7.67,8.19,#N/A,17.07,1447,208.0875,1.1418,64.161,2.997,641.61,638.71,645,645,18.4877,34.62,6.523,4.955,5.252,0.892307692
18/04/1996,23.82,23.82,#N/A,7.7,8.22,#N/A,16.41,1448,207.7418,1.1418,64.361,3.006,643.61,640.76,644.66,641.61,18.543,34.63,6.557,4.996,5.262,0.9
19/04/1996,23.95,23.95,#N/A,7.67,8.18,#N/A,15.12,1448,209.1595,1.1418,64.507,3.0126,645.07,643.61,647.32,643.61,18.5834,34.63,6.517,5.026,5.26,0.907692308
22/04/1996,24.07,24.07,#N/A,7.62,8.13,#N/A,15.38,1452,212.3514,1.1418,64.789,3.0263,647.89,645.07,650.91,645.07,18.6684,34.62,6.483,5.004,5.249,0.930769231
23/04/1996,22.7,22.7,#N/A,7.66,8.16,#N/A,15.01,1454,215.6157,1.1418,65.158,3.0439,651.58,647.7,651.59,647.89,18.7789,34.61,6.515,5.112,5.238,0.938461538
24/04/1996,22.4,22.4,#N/A,7.68,8.18,#N/A,14.91,1455,214.782,1.1418,65.017,3.0379,650.17,648.25,653.37,651.58,18.74,34.61,6.584,5.143,5.249,0.946153846
25/04/1996,22.2,22.2,#N/A,7.67,8.18,#N/A,14.72,1462,215.1749,1.1418,65.287,3.0504,652.87,647.06,654.18,650.17,18.819,34.61,6.531,5.101,5.237,0.953846154
26/04/1996,22.32,22.32,#N/A,7.66,8.17,#N/A,14.75,1465,214.6966,1.1418,65.346,3.0531,653.46,651.96,656.43,652.87,18.8373,34.61,6.525,5.119,5.224,0.961538462
29/04/1996,22.43,22.43,#N/A,7.68,8.2,#N/A,15.45,1463,214.7489,1.1418,65.416,3.056,654.16,651.6,654.71,653.46,18.8556,34.61,6.598,5.16,5.256,0.984615385
30/04/1996,21.2,21.2,#N/A,7.75,8.27,#N/A,15.83,1458,209.3274,1.1418,65.417,3.0462,654.17,651.05,654.59,654.16,18.7808,34.73,6.67,5.154,5.302,0.992307692
01/05/1996,20.81,20.81,#N/A,7.76,8.29,#N/A,16.07,1456,209.9898,1.1418,65.458,3.0477,654.58,652.26,656.44,654.17,18.7889,34.74,6.672,5.112,5.27,1
02/05/1996,20.86,20.86,#N/A,7.89,8.43,#N/A,18.62,1455,208.7124,1.1418,64.338,2.9968,643.38,642.13,654.58,654.58,18.4714,34.73,6.859,5.132,5.323,1
03/05/1996,21.18,21.18,#N/A,7.94,8.48,#N/A,16.7,1458,209.4992,1.1418,64.163,2.988,641.63,640.23,648.45,643.38,18.4171,34.74,6.895,5.14,5.342,1
06/05/1996,21.04,21.04,#N/A,7.92,8.46,#N/A,16.92,#N/A,209.0011,1.1418,64.081,2.9924,640.81,636.19,644.64,641.63,18.4082,34.7,6.841,5.119,5.33,1
07/05/1996,21.11,21.11,#N/A,7.91,8.45,#N/A,16.87,1457,210.2635,1.1418,63.826,2.9858,638.26,636.96,641.4,640.81,18.3753,34.62,6.855,5.154,5.355,1
08/05/1996,21,21,#N/A,7.86,8.38,#N/A,15.78,1452,210.5949,1.1418,64.477,3.0159,644.77,630.07,644.79,638.26,18.5645,34.62,6.736,5.133,5.302,1
09/05/1996,20.68,20.68,#N/A,7.86,8.39,#N/A,16.99,1447,209.9312,1.1418,64.544,3.0195,645.44,643.18,647.95,644.77,18.5881,34.61,6.849,5.142,5.323,1
10/05/1996,21.01,21.01,#N/A,7.79,8.32,#N/A,15.61,1445,209.3197,1.1418,65.209,3.0503,652.09,645.44,653,645.44,18.7781,34.62,6.747,5.14,5.31,1
13/05/1996,21.36,21.36,#N/A,7.76,8.29,#N/A,15.16,1442,211.3689,1.1418,66.151,3.1,661.51,652.09,662.16,652.09,19.1662,34.41,6.716,5.171,5.309,1
14/05/1996,21.42,21.42,#N/A,7.71,8.24,#N/A,14.9,1438,210.7429,1.1418,66.56,3.119,665.6,661.51,666.96,661.51,19.2853,34.41,6.643,5.133,5.317,1
15/05/1996,21.48,21.48,#N/A,7.7,8.23,#N/A,15.59,1433,210.425,1.1418,66.542,3.1181,665.42,664.46,669.82,665.6,19.2797,34.41,6.643,5.143,5.317,1
16/05/1996,20.78,20.78,#N/A,7.74,8.27,#N/A,15.71,1425,208.0002,1.1418,66.485,3.115,664.85,662.79,667.11,665.42,19.2605,34.41,6.729,5.163,5.348,1
17/05/1996,20.64,20.64,#N/A,7.69,8.22,#N/A,15.13,1417,207.6052,1.1418,66.891,3.1337,668.91,664.85,669.84,664.85,19.3772,34.42,6.652,5.161,5.346,1
20/05/1996,22.48,22.48,#N/A,7.67,8.19,#N/A,15.8,1408,212.0257,1.1418,67.315,3.1563,673.15,667.64,673.66,668.91,19.5317,34.36,6.647,5.16,5.334,1
21/05/1996,22.65,22.65,#N/A,7.68,8.21,#N/A,16,1401,209.7287,1.1418,67.276,3.1537,672.76,672.26,675.56,673.15,19.5151,34.37,6.66,5.185,5.313,1
22/05/1996,21.4,21.4,#N/A,7.65,8.18,#N/A,15.5,1395,211.0859,1.1418,67.842,3.1843,678.42,671.23,678.42,672.76,19.6995,34.33,6.63,5.185,5.302,1
23/05/1996,21.23,21.23,#N/A,7.7,8.23,#N/A,16.17,1387,210.4048,1.1418,67.6,3.1738,676,673.45,681.1,678.42,19.6338,34.33,6.679,5.194,5.333,1
24/05/1996,21.32,21.32,#N/A,7.68,8.21,#N/A,15.54,1379,210.8529,1.1418,67.851,3.1858,678.51,676,679.72,676,19.7072,34.33,6.651,5.181,5.319,1
28/05/1996,21.11,21.11,#N/A,7.68,8.21,#N/A,16.92,1373,209.1869,1.1418,67.223,3.1613,672.23,671.52,679.98,678.51,19.5749,34.17,6.672,5.18,5.318,1
29/05/1996,20.76,20.76,#N/A,7.75,8.27,#N/A,17.15,1360,207.0981,1.1418,66.793,3.1486,667.93,666.09,673.73,672.23,19.5136,34.06,6.787,5.185,5.356,1
30/05/1996,19.94,19.94,#N/A,7.75,8.27,#N/A,16.02,1343,203.9304,1.1418,67.17,3.1662,671.7,664.56,673.51,667.93,19.6362,34.03,6.793,5.184,5.334,1
31/05/1996,19.76,19.76,#N/A,7.81,8.33,#N/A,16.07,1339,203.8712,1.1418,66.912,3.1143,669.12,667,673.46,671.7,19.1652,34.75,6.852,5.182,5.364,1
03/06/1996,19.85,19.85,#N/A,7.83,8.35,#N/A,16.86,1337,203.5239,1.4038,66.768,3.1109,667.68,665.19,669.12,669.12,19.1101,34.77,6.867,5.223,5.374,1
04/06/1996,20.44,20.44,#N/A,7.82,8.35,#N/A,16.18,1338,203.3145,1.4038,67.256,3.1342,672.56,667.68,672.6,667.68,19.2647,34.75,6.854,5.223,5.409,1
05/06/1996,19.72,19.72,#N/A,7.8,8.33,#N/A,16.04,1338,200.0856,1.4038,67.844,3.161,678.44,672.09,678.45,672.56,19.4305,34.75,6.8,5.212,5.42,1
06/06/1996,20.05,20.05,#N/A,7.73,8.25,#N/A,16.84,1331,201.2205,1.4038,67.303,3.1416,673.03,673.02,680.32,678.44,19.3194,34.67,6.739,5.191,5.397,1
07/06/1996,20.28,20.28,#N/A,7.88,8.41,#N/A,16.1,1322,203.4471,1.4038,67.331,3.1499,673.31,662.48,673.31,672.55,19.3984,34.55,6.9,5.251,5.523,1
10/06/1996,20.25,20.25,#N/A,7.9,8.43,#N/A,16.78,1315,204.4701,1.4038,67.216,3.1441,672.16,670.15,673.61,673.31,19.3639,34.55,7.004,5.271,5.533,0.976923077
11/06/1996,20.1,20.1,#N/A,7.91,8.45,#N/A,16.68,1302,201.4706,1.4038,67.097,3.1383,670.97,669.94,676.72,672.16,19.3268,34.55,6.989,5.265,5.543,0.969230769
12/06/1996,20.09,20.09,#N/A,7.97,8.51,#N/A,17,1293,199.7628,1.4038,66.904,3.1384,669.04,668.77,673.67,670.97,19.3659,34.38,7.062,5.254,5.552,0.961538462
13/06/1996,20.01,20.01,#N/A,7.98,8.51,#N/A,17.12,1284,199.4194,1.4038,66.792,3.1325,667.92,665.49,670.54,669.04,19.3326,34.38,6.997,5.232,5.509,0.953846154
14/06/1996,20.34,20.34,#N/A,7.9,8.44,#N/A,18.64,1276,199.4411,1.4038,66.585,3.1233,665.85,664.35,668.4,667.92,19.275,34.38,6.931,5.199,5.485,0.946153846
17/06/1996,22.14,22.14,#N/A,7.86,8.4,#N/A,17.46,1268,202.6218,1.4038,66.516,3.1198,665.16,664.09,668.27,665.85,19.2508,34.39,6.898,5.177,5.473,0.923076923
18/06/1996,21.46,21.46,#N/A,7.89,8.43,#N/A,17.45,1258,202.4525,1.4038,66.206,3.1045,662.06,661.34,666.36,665.16,19.1565,34.39,6.935,5.227,5.452,0.915384615
19/06/1996,20.76,20.76,#N/A,7.9,8.44,#N/A,17.54,1249,200.1185,1.4038,66.196,3.1043,661.96,661.21,665.62,662.06,19.1529,34.4,6.951,5.237,5.452,0.907692308
20/06/1996,20.65,20.65,#N/A,7.93,8.46,#N/A,16.97,1241,200.824,1.4038,66.21,3.106,662.1,658.75,664.96,661.96,19.1609,34.39,6.964,5.278,5.472,0.9
21/06/1996,19.92,19.92,#N/A,7.93,8.46,#N/A,15.8,1232,200.9699,1.4038,66.684,3.1294,666.84,662.1,666.84,662.1,19.3052,34.38,6.946,5.276,5.459,0.892307692
24/06/1996,19.98,19.98,#N/A,7.89,8.42,#N/A,15.91,1225,200.6275,1.4038,66.885,3.1385,668.85,666.84,671.07,666.84,19.3639,34.38,6.935,5.277,5.48,0.869230769
25/06/1996,19.96,19.96,#N/A,7.87,8.4,#N/A,15.43,1218,199.9685,1.4038,66.848,3.1361,668.48,667.29,670.65,668.85,19.3506,34.38,6.889,5.234,5.441,0.861538462
26/06/1996,20.65,20.65,#N/A,7.86,8.38,#N/A,15.23,1212,202.0896,1.4038,66.439,3.1169,664.39,663.67,668.49,668.48,19.23,34.38,6.893,5.223,5.43,0.853846154
27/06/1996,21.02,21.02,#N/A,7.82,8.34,#N/A,14.19,1202,204.2678,1.4038,66.855,3.1365,668.55,661.56,668.9,664.39,19.3511,34.38,6.832,5.191,5.408,0.846153846
28/06/1996,20.92,20.92,#N/A,7.71,8.24,#N/A,13.68,1193,206.5216,1.4038,67.063,3.1213,670.63,668.55,672.68,668.55,19.2054,34.69,6.711,5.157,5.363,0.838461538
01/07/1996,21.53,21.53,#N/A,7.71,8.24,#N/A,13.78,1182,207.5215,1.4038,67.588,3.0876,675.88,670.63,675.88,670.63,18.9753,35.46,6.748,5.229,5.405,0.815384615
02/07/1996,21.13,21.13,#N/A,7.73,8.26,#N/A,14.19,1178,206.3594,1.4038,67.361,3.0773,673.61,672.55,675.88,675.88,18.9129,35.46,6.794,5.327,5.472,0.807692308
03/07/1996,21.21,21.21,#N/A,7.75,8.27,#N/A,14.21,1173,208.1787,1.4038,67.24,3.0716,672.4,670.21,673.64,673.61,18.8781,35.46,6.772,5.211,5.408,0.8
08/07/1996,21.27,21.27,#N/A,7.96,8.49,#N/A,16.42,1147,207.5683,1.4038,65.254,2.9851,652.54,651.13,657.65,657.44,18.3302,35.44,7.051,5.281,5.576,0.761538462
09/07/1996,21.41,21.41,#N/A,7.93,8.46,#N/A,15.49,1136,207.4556,1.4038,65.475,2.9949,654.75,652.54,656.6,652.54,18.3895,35.45,6.989,5.338,5.628,0.753846154
10/07/1996,21.55,21.55,#N/A,7.91,8.44,#N/A,15.51,1124,208.5733,1.4038,65.606,3.001,656.06,648.39,656.27,654.75,18.4271,35.45,6.914,5.275,5.552,0.746153846
11/07/1996,21.95,21.95,#N/A,7.84,8.38,#N/A,17.81,1120,209.7004,1.4038,64.567,2.9542,645.67,639.52,656.06,656.06,18.1382,35.44,6.882,5.253,5.53,0.738461538
12/07/1996,21.9,21.9,#N/A,7.81,8.34,#N/A,17.09,1116,210.4409,1.4038,64.619,2.9561,646.19,640.21,647.64,645.67,18.1488,35.45,6.856,5.292,5.56,0.730769231
15/07/1996,22.48,22.48,#N/A,7.85,8.38,#N/A,20.11,1112,211.0129,1.4038,62.98,2.882,629.8,629.69,646.19,646.19,17.692,35.44,6.888,5.271,5.538,0.707692308
16/07/1996,22.38,22.38,#N/A,7.81,8.34,#N/A,20.1,1109,209.1999,1.4038,62.837,2.8991,628.37,605.88,631.99,629.8,17.8609,35.02,6.845,5.269,5.494,0.7
